element,well_id,core_id,setion_id,depth_cm,z_m,r1_ppm,r3_ppm,av_ex,st_dev_ex
Fe,6,4,11,108.89,184.014,1374.944,4051.349,2713.147,1892.504
Fe,6,4,12,120,183.903,2002.024,5827.477,3914.75,2705.004
Fe,7,1,1,7.78,185.93,3529.329,4884.552,4206.94,958.288
Fe,7,1,2,18.89,185.819,3117.438,6541.11,4829.274,2420.902
Fe,7,1,3,30,185.708,2787.393,1164.948,1976.171,1147.242
Fe,7,2,4,40,185.608,1710.425,1198.582,1454.503,361.928
Fe,7,2,5,50,185.508,1291.376,984.205,1137.79,217.203
Fe,7,2,6,60,185.408,1139.926,3124.839,2132.382,1403.546
Fe,7,3,8,75.71,185.251,1355.661,4454.037,2904.849,2190.882
Fe,7,3,9,90,185.108,1249.218,5755.781,3502.5,3186.621
Fe,7,4,10,96,185.048,761.4,3038.679,1900.04,1610.28
Fe,7,4,11,108,184.928,893.332,892.088,892.71,0.879
Fe,7,4,12,120,184.808,985.398,1484.531,1234.965,352.941
Fe,8,1,1 (NRx2),5,186.514,2042.943,,2042.943,
Fe,8,1,2,17.5,186.389,1919.961,3627.217,2773.589,1207.212
Fe,8,1,3,30,186.264,2114.555,3282.824,2698.689,826.091
Fe,8,2,4,36.92,186.195,1923.732,2857.515,2390.624,660.284
Fe,8,2,5,48.46,186.079,1808.589,3015.672,2412.131,853.537
Fe,8,2,6,60,185.964,1238.17,3016.678,2127.424,1257.594
Fe,8,3,7,70,185.864,1386.629,2728.462,2057.545,948.819
Fe,8,3,8,80,185.764,1297.922,3285.352,2291.637,1405.325
Fe,8,3,9,90,185.664,1459.388,,1459.388,
Fe,8,4,10,100,185.564,1638.137,3801.525,2719.831,1529.746
Fe,8,4,11,110,185.464,1418.074,3444.461,2431.267,1432.872
Fe,8,4,12,120,185.364,1019.949,3129.508,2074.728,1491.684
Fe,9,1,1 (NRx2),6,185.498,2756.754,,2756.754,
Fe,9,1,2,18,185.378,683.614,3526.694,2105.154,2010.361
Fe,9,1,3,30,185.258,607.909,942.256,775.082,236.419
Fe,9,2,4,37.78,185.18,251.57,517.71,384.64,188.189
Fe,9,2,5,48.89,185.069,107.408,325.207,216.307,154.007
Fe,9,2,6,60,184.958,90.201,640.114,365.157,388.847
Fe,9,3,7,68.57,184.872,182.174,718.937,450.555,379.549
Fe,9,3,8,79.29,184.765,98.577,993.552,546.064,632.842
Fe,9,3,9,90,184.658,474.958,2735.859,1605.408,1598.699
Fe,9,4,10,98.57,184.572,903.224,2206.995,1555.109,921.905
Fe,9,4,11,109.29,184.465,666.749,1735.601,1201.175,755.793
Fe,9,4,12,120,184.358,1586.378,,1586.378,
Fe,10,1,1,10,185.057,2539.403,5065.761,3802.582,1786.404
Fe,10,1,2,20,184.957,1304.497,5515.605,3410.051,2977.703
Fe,10,1,3,30,184.857,1766.889,4615.636,3191.263,2014.369
Fe,10,2,4,36.92,184.788,888.483,6248.783,3568.633,3790.304
Fe,10,2,5,48.46,184.672,857.022,5526.517,3191.77,3301.832
Fe,10,2,6,60,184.557,3010.059,5912.933,4461.496,2052.642
Fe,10,3,7,66.92,184.488,708.875,2627.923,1668.399,1356.972
Fe,10,3,8,78.46,184.372,954.784,6195.633,3575.209,3705.84
Fe,10,3,9,90,184.257,1200.002,6209.605,3704.803,3542.324
Fe,10,4,10 (NRx1),95,184.207,1287.971,,1287.971,
Fe,10,4,11,107.5,184.082,79.612,5235.684,2657.648,3645.893
Fe,10,4,12,120,183.957,1056.022,4939.726,2997.874,2746.193
Zn,1,1,1,2.73,184.864,64.093,54.252,59.173,6.959
Zn,1,1,2,16.36,184.727,23.334,36.889,30.112,9.585
Zn,1,1,3,30,184.591,12.076,16.781,14.429,3.327
Zn,1,2,4,39.31,184.498,10.258,15.468,12.863,3.684
Zn,1,2,5,49.66,184.394,13.717,138.955,76.336,88.557
Zn,1,2,6,60,184.291,14.947,26.797,20.872,8.379
Zn,1,3,8,75,184.141,33.223,56.692,44.957,16.595
Zn,1,3,9,90,183.991,68.849,79.718,74.283,7.686
Zn,1,4,10,100,183.891,27.361,43.05,35.205,11.094
Zn,1,4,11,110,183.791,17.827,32.221,25.024,10.178
Zn,1,4,12,120,183.691,17.514,35.436,26.475,12.673
Zn,2,1,1,0,184.807,75.367,81.153,78.26,4.091
Zn,2,1,2,15,184.657,64.96,67.444,66.202,1.756
Zn,2,2,4,40,184.407,30.029,35.383,32.706,3.786
Zn,2,2,5,50,184.307,23.2,,23.2,
Zn,2,2,6,60,184.207,21.727,33.602,27.664,8.397
Zn,2,3,7,70,184.107,23.061,36.293,29.677,9.356
Zn,2,3,8,80,184.007,26.791,42.839,34.815,11.347
Zn,2,3,9,90,183.907,27.495,38.773,33.134,7.975
Zn,2,4,10,100,183.807,27.842,43.794,35.818,11.279
Zn,2,4,11,110,183.707,19.859,39.673,29.766,14.01
Zn,2,4,12,120,183.607,15.16,28.864,22.012,9.69
Zn,3,1,2,14.21,184.728,44.321,65.785,55.053,15.178
Zn,3,1,Missing,30,184.57,33.165,,33.165,
Zn,3,2,5,45,184.42,17.459,25.046,21.252,5.364
Zn,3,2,6,60,184.27,24.203,28.242,26.222,2.856
Zn,3,3,8,75,184.12,24.98,35.252,30.116,7.264
Zn,3,3,9,90,183.97,26.168,45.057,35.612,13.356
Zn,3,4,10,100,183.87,27.44,47.781,37.611,14.384
Zn,3,4,11,110,183.77,27.493,39.985,33.739,8.833
Zn,3,4,12,120,183.67,89.208,32.603,60.906,40.026
Zn,4,1,2,14.21,184.609,64.216,218.76,141.488,109.279
Zn,4,1,3,30,184.451,22.441,59.099,40.77,25.921
Zn,4,2,5,41.25,184.339,24.748,49.069,36.909,17.198
Zn,4,2,6,60,184.151,36.188,34.42,35.304,1.25
Zn,4,3,8,75.71,183.994,23.625,47.3,35.462,16.74
Zn,4,3,9,90,183.851,28.626,79.596,54.111,36.041
Zn,4,4,10,100,183.751,39.919,67.199,53.559,19.29
Zn,4,4,11,110,183.651,24.45,41.799,33.124,12.268
Zn,4,4,12,120,183.551,19.527,34.111,26.819,10.313
Zn,5,1,1,5,184.752,128.444,69.959,99.201,41.355
Zn,5,1,2,17.5,184.627,36.441,41.287,38.864,3.427
Zn,5,1,3,30,184.502,16.698,55.385,36.041,27.356
